MolWt,critical_temp
112.216,607.29
112.216,585.88
280.53999999999996,772.0
98.189,541.8
114.18799999999997,593.0
64.065,430.62
84.162,510.2
137.33300000000003,558.9
34.083,373.42
162.27599999999998,675.1
44.013,309.57
153.332,601.1
242.40299999999993,777.0
127.91199999999999,423.63
80.91199999999999,363.68
104.00600000000001,309.4
117.192,626.0
106.16799999999996,617.1
104.15199999999997,635.0
103.12399999999997,703.9
108.13999999999997,714.9
106.12399999999997,692.0
107.15599999999998,702.0
108.13999999999997,646.11
124.20799999999996,706.0
107.15599999999998,628.0
190.32999999999998,708.0
168.239,770.0
170.21099999999998,766.89
162.27599999999998,679.0
143.27399999999997,638.0
149.19,772.0
172.26799999999997,642.0
184.27899999999994,672.0
120.19499999999995,638.28
121.18299999999995,699.0
122.16699999999996,646.5
130.191,760.0
136.14999999999998,766.0
134.22199999999998,660.42
218.38400000000001,752.0
130.231,640.27
117.151,723.0
120.15099999999998,715.5
134.22199999999998,657.871
102.17699999999999,604.4
102.133,546.19
116.116,653.0
160.16899999999998,651.0
116.15999999999998,569.5
118.13199999999999,578.1
113.16000000000001,801.0
130.18699999999998,593.8
122.16699999999999,708.0
144.21399999999997,611.0
158.24099999999999,619.0
158.24099999999999,634.4
172.26799999999997,654.3
228.37599999999995,718.0
114.18799999999999,606.6
116.15999999999998,569.4
106.16799999999999,616.18
108.13999999999999,699.15
147.00400000000002,669.1
114.192,606.0
128.21499999999997,627.7
130.18699999999998,603.7
114.23199999999999,576.5
144.214,627.8
230.30399999999995,742.0
122.993,536.9
58.123999999999995,425.139
56.10799999999999,419.33
54.09199999999999,425.3
76.16399999999999,536.6
76.526,513.9
98.96000000000001,561.2
128.259,574.57
59.11199999999999,496.95
57.09599999999999,540.0
55.07999999999999,561.15
128.259,576.7
53.06399999999999,540.0
60.09999999999999,613.1
142.286,581.5
175.0,669.6
175.0,652.0
60.05200000000001,487.0
112.21599999999998,544.2
162.276,697.43
86.178,497.88
176.30300000000003,708.0
86.13399999999999,561.17
88.10599999999998,621.6
86.08999999999999,519.19
100.20499999999998,519.8
100.16099999999999,575.3
102.17699999999998,574.4
101.19299999999998,523.1
102.17699999999999,500.21
102.133,531.09
100.11699999999999,550.0
102.089,605.9
100.11699999999999,708.0
102.08899999999998,763.0
106.16799999999999,616.94
108.13999999999999,705.67
107.156,709.0
110.11199999999998,836.0
107.15599999999999,647.05
107.156,623.8
114.192,646.0
132.115,647.0
130.18699999999998,583.5
132.159,597.6
120.19499999999998,637.3
122.16699999999997,716.0
157.01,670.9
92.14099999999999,591.86
93.12899999999999,645.88
112.55899999999997,632.39
99.177,626.8
100.161,647.23
98.14500000000001,664.1
94.11299999999999,694.25
110.18099999999997,689.0
93.129,644.79
93.129,621.5
144.21399999999997,612.0
98.14499999999998,593.5
102.13299999999998,639.66
102.13299999999998,549.73
72.151,469.75
70.13499999999999,464.78
92.56899999999999,539.2
73.139,531.8
69.107,585.4
74.127,632.0
90.19099999999999,570.1
76.095,598.0
76.095,490.7
73.139,499.51
72.107,475.0
74.07900000000001,509.7
67.091,639.66
72.107,540.14
68.07499999999999,490.2
88.175,632.0
84.14299999999999,579.41
114.18799999999999,604.0
118.088,851.0
116.16,561.5
200.32199999999997,687.0
258.3579999999999,740.0
186.295,675.0
114.18799999999999,611.43
116.15999999999998,578.0
118.13199999999999,603.0
86.178,507.549
83.134,610.3
88.15400000000001,651.0
80.09,815.0
86.13399999999999,561.0
90.122,726.9
85.10600000000001,650.9
90.122,536.6
88.10599999999998,538.2
90.122,599.0
84.162,553.418
82.146,560.42
86.138,660.1
79.10199999999998,619.18
132.115,840.0
129.24699999999996,584.4
422.8260000000003,813.0
158.24099999999999,646.0
128.215,632.7
