SMILES
C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N
C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O
C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC
CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C(/C(F)(F)F)\Cl)C
C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C
C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O
C(=S)(N)N
C1=CC=C2C(=C1)NC(=S)S2
CC(=CCC/C(=C/C=O)/C)C
CC(=CCC/C(=C/CO)/C)C
CCCCCCCC/C=C\CCCCCCCC(=O)O
CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C
C(=C\C(=O)O)\C(=O)O
CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C
C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
CN1CCCC1=O
CN=C=S
CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-]
C1=CC=C(C=C1)CC2=C(C=CC(=C2)Cl)O
CCCCCCCCC(=O)O
COCCOCCO
CCCCCC
CCOC=O
COCCO
C1CCC(CC1)O
C=CC=O
CC(CCC=C(C)C)CC=O
CC1=CCC(CC1=O)C(=C)C
C1=CC=C(C=C1)C2=CC=CC=C2O
C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O
CC1=CCC2CC1C2(C)C
CCC(C)(C)C1=CC=C(C=C1)O
CC(C)C(=O)O
CC(=O)OO
C1CO1
C=C
CN(C)C=O
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O
C=CCN=C=S
C(Cl)(Cl)(Cl)Cl
C([C@@H](C(=O)O)N)S
CCCCOCCOCCOCC1=CC2=C(C=C1CCC)OCO2
CN(C)C(=S)SSC(=S)N(C)C
C1=CC=C2C(=C1)C(=O)NS2(=O)=O
CC1=NC=C(N1CCO)[N+](=O)[O-]
CCCCCCCCCCCC(=O)O
CC(C)O
C(CC=O)CC=O
COC1=C(C=CC(=C1)CC=C)O
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
COP(=O)(OC)OC=C(Cl)Cl
CCCCCCCCCC(=O)O
CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C
