cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchi,isosmiles,canonicalsmiles,inchikey,iupacname,exactmass,monoisotopicmass,charge,covalentunitcnt,isotopeatomcnt,totalatomstereocnt,definedatomstereocnt,undefinedatomstereocnt,totalbondstereocnt,definedbondstereocnt,undefinedbondstereocnt,pclidcnt,gpidcnt,gpfamilycnt,neighbortype,meshheadings,annothits,annothitcnt,aids,cidcdate,sidsrcname,depcatg,annotation
22833476,Thallium selenite,"Thallium selenite|Selenious acid, dithallium(1+) salt|DTXSID101339590|Q27893506",535.740,O3SeTl2,63.200,18.800,NULL,6,0,3,0,"InChI=1S/H2O3Se.2Tl/c1-4(2)3;;/h(H2,1,2,3);;/q;2*+1/p-2",[O-][Se](=O)[O-].[Tl+].[Tl+],[O-][Se](=O)[O-].[Tl+].[Tl+],MPMWDEQGDVBQOZ-UHFFFAOYSA-L,thallium(1+);selenite,537.85,537.85,0,3,0,0,0,0,0,0,0,0,0,0,2D,NULL,Chemical and Physical Properties|Classification|Pharmacology and Biochemistry|Safety and Hazards|Toxicity,5,NULL,20071205,"Ambinter|Chembase.cn|ChemSpider|DiscoveryGate|Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|EPA DSSTox|EPA Substance Registry Services|FDA Global Substance Registration System (GSRS)|LeadScope|MP Biomedicals|NORMAN Suspect List Exchange|Wikidata",Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services,NULL
20233350,Thallium triiodide,Thallium triiodide|EINECS 236-627-3|13453-37-7|Thallium(3+) triiodide|DTXSID70928661,585.097,I3Tl,0.000,0.000,NULL,4,0,3,0,InChI=1S/3HI.Tl/h3*1H;/q;;;+3/p-3,[I-].[I-].[I-].[Tl+3],[I-].[I-].[I-].[Tl+3],SFRFZGGTKJZREP-UHFFFAOYSA-K,thallium(3+);triiodide,585.688,585.688,0,4,0,0,0,0,0,0,0,0,79,28,2D,NULL,Chemical and Physical Properties|Classification|Patents|Safety and Hazards|Toxicity,5,NULL,20071205,Alfa Chemistry|ChemIDplus|ChemSpider|ChemTik|EPA DSSTox|Google Patents|Japan Chemical Substance Dictionary (Nikkaji)|Starshine Chemical|ToxPlanet,Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services,NULL
16689545,Thallium(I) acetylacetonate,"Thallium(I) acetylacetonate|25955-51-5|THALLIUM(I) 2,4-PENTANEDIONATE|Thallium(I)acetylacetonat|[(Z)-4-Oxopent-2-en-2-yl]oxythallium|thallium(I) (Z)-4-oxopent-2-en-2-olate",303.490,C5H7O2Tl,26.300,118.000,NULL,8,0,2,1,"InChI=1S/C5H8O2.Tl/c1-4(6)3-5(2)7;/h3,6H,1-2H3;/q;+1/p-1/b4-3-;",C/C(=C/C(=O)C)/O[Tl],CC(=CC(=O)C)O[Tl],QGQYKYKTENVDSC-LNKPDPKZSA-M,[(Z)-4-oxopent-2-en-2-yl]oxythallium,304.019,304.019,0,1,0,0,0,0,1,1,0,9,0,0,2D,NULL,Classification|Literature|Patents|Safety and Hazards,5,NULL,20070823,"3B Scientific (Wuhan) Corp|AHH Chemical co.,ltd|Alfa Chemistry|Ambinter|Aurora Fine Chemicals LLC|BenchChem|BOC Sciences|CymitQuimica|DiscoveryGate|PATENTSCOPE (WIPO)|RR Scientific|Santa Cruz Biotechnology, Inc.|Sigma-Aldrich|Springer Nature|Thieme Chemistry|Thomson Pharma|VWR, Part of Avantor",Chemical Vendors|Governmental Organizations|Journal Publishers|Legacy Depositors|Subscription Services,NULL
16684300,"[(4-Methylphenyl)-(2,2,2-trifluoroacetyl)oxythallanyl] 2,2,2-trifluoroacetate","23586-55-2|[(4-methylphenyl)-(2,2,2-trifluoroacetyl)oxythallanyl] 2,2,2-trifluoroacetate|4-Mptf|QOKQDDOMCNBIMY-UHFFFAOYSA-L|p-tolylthallium bis(trifluoroacetate)|4-Methylphenylthallium(III)bis(fluoroacetate)|Thallium, (4-methylphenyl)bis(trifluoroacetato-O)-",521.539,C11H7F6O4Tl,52.600,386.000,NULL,22,0,10,5,"InChI=1S/C7H7.2C2HF3O2.Tl/c1-7-5-3-2-4-6-7;2*3-2(4,5)1(6)7;/h3-6H,1H3;2*(H,6,7);/q;;;+2/p-2",CC1=CC=C(C=C1)[Tl](OC(=O)C(F)(F)F)OC(=O)C(F)(F)F,CC1=CC=C(C=C1)[Tl](OC(=O)C(F)(F)F)OC(=O)C(F)(F)F,QOKQDDOMCNBIMY-UHFFFAOYSA-L,"[(4-methylphenyl)-(2,2,2-trifluoroacetyl)oxythallanyl] 2,2,2-trifluoroacetate",521.999,521.999,0,1,0,0,0,0,0,0,0,7,0,0,2D,NULL,Classification|Literature|Patents|Safety and Hazards,5,NULL,20070823,"BenchChem|ChemIDplus|ChemSpider|CymitQuimica|DiscoveryGate|ECI Group, LCSB, University of Luxembourg|J&H Chemical Co.,ltd|PATENTSCOPE (WIPO)|RR Scientific|Springer Nature|THE BioTek|Thieme Chemistry",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,NULL
16683485,Thallium sulfide (Tl2S),1314-97-2|Thallium(I) sulfide|Thallium (I) sulfide|Thallium sulfide (Tl2S)|Thallium(1+) sulfide|lambda1-thallanylsulfanylthallium|DTXSID801027166|NSC326764|Q2983921|Fmoc-(R)-3-Amino-3-(2-nitro-phenyl)-propionicacid,440.830,STl2,25.300,2.800,NULL,3,0,1,0,InChI=1S/S.2Tl,S([Tl])[Tl],S([Tl])[Tl],YYOMHJQQXKRHAM-UHFFFAOYSA-N,lambda1-thallanylsulfanylthallium,441.921,441.921,0,1,0,0,0,0,0,0,0,0,73,52,2D,NULL,Biological Test Results|Classification|Literature|Patents|Use and Manufacturing,5,330,20070823,"3B Scientific (Wuhan) Corp|3WAY PHARM INC|A2B Chem|AA BLOCKS|AK Scientific, Inc. (AKSCI)|Alfa Chemistry|Ambinter|Aurora Fine Chemicals LLC|BenchChem|BOC Sciences|Chembase.cn|ChemDB|Chemieliva Pharmaceutical Co., Ltd|ChemSpider|Cooke Chemical Co., Ltd|DiscoveryGate|DTP/NCI|Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|EPA DSSTox|EPA Substance Registry Services|Google Patents|J&H Chemical Co.,ltd|MP Biomedicals|MuseChem|RR Scientific|Sigma-Aldrich|Wikidata",Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services,NULL
6914514,Thallium selenide,Thallium(I) selenide|15572-25-5|Thallium selenide (Tl2Se)|Thallium monoselenide|RCRA waste no. P114|RCRA waste number P114|UNII-33M64ZD35M|HSDB 6056|EINECS 234-895-6|EINECS 239-627-1|DTXSID401311981,487.740,SeTl2,0.000,2.800,NULL,3,0,0,0,InChI=1S/Se.2Tl,[Se].[Tl].[Tl],[Se].[Tl].[Tl],LFHMHCGVMUPAPA-UHFFFAOYSA-N,NULL,489.865,489.865,0,3,0,0,0,0,0,0,0,0,0,0,2D,NULL,Chemical and Physical Properties|Classification|Safety and Hazards|Toxicity|Use and Manufacturing,5,NULL,20060708,"3B Scientific (Wuhan) Corp|A2B Chem|AA BLOCKS|Alfa Chemistry|Ambinter|Aurora Fine Chemicals LLC|BenchChem|BOC Sciences|Chembase.cn|ChemDB|ChemIDplus|Chemieliva Pharmaceutical Co., Ltd|ChemSpider|CymitQuimica|eNovation Chemicals|EPA DSSTox|J&H Chemical Co.,ltd|LeadScope|NextBio|Santa Cruz Biotechnology, Inc.|Smolecule|ToxPlanet|VladaChem|VWR, Part of Avantor|Wikidata",Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services,NULL
5461982,Thallium-201,"Thallium-201|Thallium, isotope of mass 201|15064-65-0|CHEBI:37804|DTXSID801018220|MOLI000459|(201)Tl|(201)81Tl|DB15361|Q18883323",200.970,Tl,0.000,0.000,NULL,1,0,0,0,InChI=1S/Tl/i1-3,[201Tl],[Tl],BKVIYDNLLOSFOA-OIOBTWANSA-N,thallium-201,200.971,200.971,0,1,1,0,0,0,0,0,0,71,3426,860,2D,NULL,Classification|Drug and Medication Information|Literature|Patents,5,NULL,20050327,"ABI Chem|BenchChem|ChEBI|ChemIDplus|ChemSpider|Collaborative Drug Discovery, Inc.|DiscoveryGate|DrugBank|Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|EPA DSSTox|EPA Substance Registry Services|FDA Global Substance Registration System (GSRS)|Google Patents|KEGG|Molecular Imaging Database (MOLI)|MuseChem|NextBio|NovoSeek|PubChem Reference Collection|RR Scientific|Starshine Chemical|THE BioTek|Thomson Pharma|ToxPlanet|Wikidata",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,NULL
167263,Thallium chloride (TlCl2),Thallium chloride (TlCl2)|Thalium(I) chloride|THALLIUM CHLORIDE [MI]|DTXSID6024333|THALLOUS CHLORIDE [HSDB]|GBECUEIQVRDUKB-UHFFFAOYSA-M|15230-71-4,239.830,ClTl,0.000,0.000,NULL,2,0,1,0,InChI=1S/ClH.Tl/h1H;/q;+1/p-1,[Cl-].[Tl+],[Cl-].[Tl+],GBECUEIQVRDUKB-UHFFFAOYSA-M,thallium(1+);chloride,239.943,239.943,0,2,0,0,0,0,0,0,0,57,0,0,2D,NULL,Chemical and Physical Properties|Classification|Literature,5,NULL,20050808,"AAA Chemistry|ABI Chem|Chembase.cn|ChemIDplus|ChemTik|Collaborative Drug Discovery, Inc.|Crystallography Open Database (COD)|DiscoveryGate|EPA DSSTox|EPA Substance Registry Services|FDA Global Substance Registration System (GSRS)|Japan Chemical Substance Dictionary (Nikkaji)|KEGG|Kingston Chemistry|NextBio|NextMove Software|NIST Chemistry WebBook|NORMAN Suspect List Exchange|NovoSeek|Oakwood Products|Thomson Pharma|ToxPlanet",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,NULL
160963,Thallium hydroxide,Thallium hydroxide|12026-06-1|Thallium hydroxide (Tl(OH))|thallium(I) hydroxide|thallium(1+);hydroxide|847N2ZKW5S|THALLIUM (OUS) HYDROXIDE|thallium(1+) hydroxide|UNII-847N2ZKW5S|EINECS 234-708-8|THALLIUM MONOHYDROXIDE|THALLIUM HYDROXIDE [MI]|DTXSID10894114|QGYXCSSUHCHXHB-UHFFFAOYSA-M|Q2630415,221.391,HOTl,1.000,0.000,NULL,2,1,1,0,InChI=1S/H2O.Tl/h1H2;/q;+1/p-1,[OH-].[Tl+],[OH-].[Tl+],QGYXCSSUHCHXHB-UHFFFAOYSA-M,thallium(1+);hydroxide,221.977,221.977,0,2,0,0,0,0,0,0,0,0,1989,685,2D,NULL,Classification|Literature|Patents|Safety and Hazards|Use and Manufacturing,5,NULL,20050808,"3WAY PHARM INC|ABI Chem|BenchChem|BOC Sciences|Chembase.cn|ChemIDplus|ChemSpider|ChemTik|DiscoveryGate|Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|EPA DSSTox|EPA Substance Registry Services|FDA Global Substance Registration System (GSRS)|Google Patents|J&H Chemical Co.,ltd|Japan Chemical Substance Dictionary (Nikkaji)|MP Biomedicals|MuseChem|NextBio|NextMove Software|NORMAN Suspect List Exchange|Parchem|RR Scientific|Smolecule|THE BioTek|Thomson Pharma|ToxPlanet|Wikidata",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,NULL
105005,Thallium (I) ion,"Thallium(1+)|Thallous cation|THALLIUM (I) ION|Thallium, ion (Tl1+)|Thallium(I)|thallium(1+) ion|Tl(+)|22537-56-0|HQ02V0P496|Tl+|UNII-HQ02V0P496|Thallium (I)|Thallium (l) ion|thallium(I) cation|THALLOUS ION|THALLIUM ION(1+)|THALLIUM ION (TL+)|THALLIUM ION (TL1+)|CHEBI:49920|DTXSID80177062|ZLUSCZLCHQSJRU-UHFFFAOYSA-N|NCGC00248578-01|NCGC00248578-02|SR-01000944601|SR-01000944601-1|Q27104736",204.383,Tl+,0.000,0.000,NULL,1,0,0,0,InChI=1S/Tl/q+1,[Tl+],[Tl+],ZLUSCZLCHQSJRU-UHFFFAOYSA-N,thallium(1+),204.974,204.974,1,1,0,0,0,0,0,0,0,30,1088,630,2D,NULL,Biological Test Results|Classification|Literature|Patents,5,1259251|1919674,20040916,"AAA Chemistry|ABI Chem|BioCyc|ChEBI|ChemDB|ChemIDplus|ChemSpider|ChemTik|Collaborative Drug Discovery, Inc.|DiscoveryGate|Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|EPA DSSTox|FDA Global Substance Registration System (GSRS)|Google Patents|ISpharm|J&H Chemical Co.,ltd|National Center for Advancing Translational Sciences (NCATS)|NCBI Structure|NextBio|NextMove Software|NIAID ChemDB|Probes & Drugs portal|Protein Data Bank in Europe (PDBe)|RESOLUTE - Research Empowerment on Solute Carriers|RR Scientific|SMID|The Scripps Research Institute Molecular Screening Center|Thomson Pharma|ToxPlanet|Wikidata",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,NULL
