Pre_model_true_temp,post_model_true_temp
614.6,684.9
483.71,604.0
593.0,309.4
712.0,551.0
581.8,698.0
679.0,542.0
841.0,677.0
566.3,575.3
655.0,647.05
560.6,708.2
732.0,837.0
645.1,944.0
502.88,586.11
592.3,400.6
623.5,328.04
548.5,640.27
760.0,699.0
555.0,421.75
528.0,633.9
653.0,605.4
687.26,451.65
455.1,658.23
786.0,653.4
728.0,629.8
731.1,728.0
760.0,718.0
685.0,379.5
700.0,134.35
651.5,543.86
309.57,553.4
755.0,783.1
512.77,588.0
646.11,44.4
607.55,545.42
674.2,784.0
568.837,624.0
585.0,372.35
868.0,464.78
477.6,836.0
472.25,602.2
559.63,556.349
599.6,523.95
612.0,575.0
597.6,629.0
603.5,757.7
772.0,695.0
513.9,786.0
662.0,776.0
667.0,632.0
594.099,632.0
652.98,498.2
685.0,518.15
593.8,687.3
827.0,536.9
692.0,478.1
519.19,477.6
550.0,463.0
630.56,646.5
511.0,443.9
560.06,629.8
587.0,520.4
508.27,537.471
720.1,549.0
619.18,591.2
709.8,667.95
260.0,589.0
399.6,560.4
603.7,695.0
817.0,710.0
710.0,345.868
648.0,398.07
653.0,669.1
654.3,504.0
769.0,353.0
553.5,618.3
605.3,643.7
377.922,528.7
645.88,675.1
526.0,973.0
742.0,707.0
695.0,432.79
530.63,399.6
851.0,549.73
1037.0,623.0
651.0,467.73
662.0,669.0
629.1,656.0
556.9,491.03
551.0,789.9
420.26,535.773
690.0,411.98
763.0,664.1
289.749,504.58
705.67,592.1
658.0,755.0
513.98,812.0
672.2,306.9
597.0,517.75
395.425,519.8
666.11,653.0
271.1,646.11
780.0,719.0
307.6,606.0
430.62,396.467
708.0,726.0
608.5,572.0
632.7,454.9
797.0,579.41
466.8,725.0
410.6,583.5
682.0,667.25
582.46,672.2
845.0,524.0
427.12,585.4
504.35,646.0
605.0,687.64
451.56,647.23
638.0,540.0
361.85,612.0
482.3,608.0
476.2,598.5
772.0,647.317
618.0,568.9
676.0,864.0
535.963,680.9
606.0,716.4
595.8,742.0
694.0,968.0
508.09,586.78
760.0,584.0
323.55,417.99
518.15,627.7
716.0,904.0
555.8,516.0
767.0,926.0
516.7,718.0
576.0,500.0
645.0,548.5
388.45,590.5
495.8,546.1
367.86,593.8
770.0,376.8
615.2,456.6
507.0,845.0
512.618,260.94
604.4,792.0
574.57,755.8
579.45,305.352
498.2,679.0
475.5,706.91
588.0,682.0
531.1,690.0
620.1,701.4
842.0,643.89
632.69,606.1
570.92,543.0
694.25,641.39
776.0,760.9
533.6,562.0
589.0,518.6
697.0,564.32
719.0,673.0
260.94,669.6
687.0,553.08
616.18,464.1
583.5,603.7
794.0,559.6
721.74,709.51
643.0,569.4
723.0,648.0
509.1,1037.0
505.1,597.0
540.0,270.0
502.0,884.0
417.99,621.0
512.0,535.963
546.49,719.5
477.3,495.8
364.0,701.0
651.0,463.89
456.49,578.2
523.78,576.0
650.0,189.2
372.35,642.0
830.0,611.43
396.467,536.3
611.43,419.33
323.5,605.0
477.4,707.0
639.66,692.0
757.0,476.2
519.0,561.44
687.0,668.0
634.4,574.4
617.43,591.8
705.0,548.62
882.0,549.9
639.66,603.5
757.7,660.0
669.1,668.59
723.8,645.88
475.14,684.0
400.6,490.2
661.1,640.0
629.8,747.6
556.349,619.0
763.0,767.0
606.1,801.0
563.0,632.7
451.43,621.6
785.0,769.0
647.317,734.0
601.0,416.266
585.0,707.0
714.9,376.65
410.14,410.6
701.0,620.0
270.0,675.0
431.95,675.0
740.8,575.55
675.74,502.88
667.25,616.94
498.57,594.0
687.8,693.7
578.2,770.0
496.95,780.0
706.91,614.0
609.1,925.0
450.0,702.0
532.8,507.62
638.28,840.0
537.27,670.9
619.0,694.0
444.471,395.4
798.0,755.0
456.89,666.11
723.0,775.0
687.0,849.0
443.9,593.7
569.45,543.82
730.0,755.0
864.0,692.0
605.0,307.6
620.0,680.0
973.0,682.0
748.0,510.0
751.0,698.8
621.87,386.35
655.45,532.5
695.19,431.23
521.0,365.0
545.42,512.77
514.3,676.0
451.85,607.55
582.9,736.0
728.0,447.57
496.4,381.2
766.0,772.2
882.0,473.0
621.0,605.9
647.1,687.0
716.0,683.75
674.4,421.68
723.0,405.399
648.0,742.0
785.0,545.42
485.94,621.2
616.0,814.0
635.0,571.1
421.81,674.4
607.5,838.0
497.7,618.0
701.0,293.022
562.0,657.0
647.02,743.0
301.884,711.14
647.2,427.12
457.19,506.13
666.0,702.0
516.21,647.2
596.3,428.75
602.2,510.07
566.3,753.0
591.2,325.4
747.6,579.8
685.0,418.78
540.0,403.41
810.0,453.0
345.048,666.0
709.0,469.75
604.0,629.1
799.7,645.0
719.4,423.27
646.0,830.0
412.8,574.88
926.0,435.7
709.51,631.0
461.6,482.3
416.89,746.0
523.95,639.66
372.05,516.21
682.0,808.0
721.7,271.1
625.1,712.0
968.0,630.7
377.5,714.0
811.0,466.8
405.45,459.9
486.98,415.76
534.47,532.0
513.4,841.0
474.93,607.5
586.11,610.1
777.0,771.0
647.2,540.75
707.0,743.0
566.0,587.0
734.0,650.1
482.5,731.1
586.03,584.1
602.0,551.0
776.0,539.2
616.06,716.0
584.0,836.0
567.0,631.2
557.8,651.0
354.48,563.0
373.42,862.0
746.0,498.22
438.99,482.02
719.0,812.0
669.0,581.5
652.0,787.0
475.74,567.0
697.43,586.03
810.0,623.5
721.0,651.0
716.0,617.43
591.7,596.3
660.1,430.62
610.3,760.0
299.0079,663.72
580.0,526.0
594.5,588.0
766.0,619.0
629.8,515.5
467.73,790.0
486.48,763.0
753.0,723.8
610.1,581.8
592.6,703.0
755.0,605.3
760.9,726.7
541.0,496.3
599.0,483.71
925.0,653.0
550.0,493.2
646.0,457.19
507.62,433.3
391.7,709.0
497.07,475.74
471.8,639.25
377.2,678.5
419.33,537.2
643.89,883.0
561.7,397.0
463.0,561.11
743.0,578.1
569.5,578.0
438.4,364.0
460.45,616.0
551.0,730.0
616.0,400.31
507.1,477.4
469.75,682.0
348.82,345.048
375.26,581.5
545.5,260.0
372.29,730.0
581.5,721.7
740.0,585.0
599.0,444.471
674.4,686.0
723.0,709.0
646.5,299.0079
631.0,778.0
665.0,721.74
519.8,657.6
974.0,459.59
553.6,799.7
677.0,663.23
630.7,772.0
639.25,653.0
675.0,259.0
462.03,575.6
675.1,412.8
725.0,497.88
692.0,740.0
561.11,597.6
782.0,601.0
610.4,850.0
530.37,534.65
710.0,661.1
643.7,412.35
463.0,628.0
663.23,317.45
493.2,444.88
516.0,532.757
376.8,521.8
190.551,721.0
520.4,348.82
433.02,506.16
862.0,598.0
653.1,505.35
561.5,679.0
627.0,638.28
780.0,599.0
787.0,509.7
662.0,641.0
515.5,359.4
631.0,728.0
640.27,569.45
715.5,435.0
703.9,664.43
674.0,751.0
507.549,662.0
670.9,388.45
663.72,607.0
859.0,563.6
692.3,559.5
412.35,685.0
609.5,512.0
585.4,374.126
537.2,670.0
591.86,558.9
676.0,497.07
538.0,715.5
843.0,576.7
437.45,619.18
702.0,448.61
613.1,608.5
682.0,454.57
311.1,602.0
618.0,372.29
605.9,568.61
272.0,831.0
814.0,567.5
424.73,568.8
506.16,775.0
607.5,548.4
568.61,472.25
819.0,532.7
626.8,716.0
633.9,644.16
531.09,431.95
703.0,513.4
644.16,679.0
398.25,545.5
670.0,618.0
785.0,668.0
858.0,509.1
405.399,585.0
363.68,649.0
657.6,683.0
541.8,406.814
542.8,560.42
712.0,723.0
407.79,748.0
404.9,513.9
309.4,678.5
464.78,339.173
154.62,843.0
736.0,450.0
669.6,377.922
597.0,723.2
521.8,560.3
831.0,401.5
548.4,697.0
771.0,593.0
510.07,685.0
631.2,836.0
801.0,486.48
786.0,740.0
306.9,560.06
609.6,864.0
670.0,573.5
536.3,451.43
660.42,611.7
607.29,126.1931
883.0,647.0
726.7,609.5
755.0,626.8
626.0,368.9
605.4,451.85
687.3,617.633
815.0,705.67
209.425,574.57
575.55,475.5
627.7,808.0
701.4,498.57
560.42,302.98
653.0,261.08
353.0,502.2
469.87,728.0
545.42,373.05
381.2,697.0
453.5,798.0
425.0,420.26
189.2,561.5
386.35,665.0
642.0,647.1
259.0,609.1
572.04,591.86
553.0,437.7
459.9,652.13
574.0,858.0
293.022,528.0
421.68,531.1
684.9,811.0
447.57,539.67
743.0,632.69
711.14,597.0
726.9,813.0
650.1,692.0
