true_temp,pred_temp
537.471,513.9422
640.0,661.8531
365.0,367.33533
919.0,953.62744
598.0,576.3479
568.9,570.05426
728.0,756.2665
723.2,698.8249
904.0,925.42535
536.4,536.85223
505.35,531.3948
660.0,651.2751
328.04,345.40637
438.848,429.36765
549.95,565.52374
637.3,622.82135
664.1,636.0136
779.0,774.73834
126.1931,151.35944
623.0,624.5393
707.0,698.14935
594.0,612.9107
528.7,505.04343
798.0,806.6534
702.0,670.64276
437.84,483.72678
778.0,801.72064
594.37,595.44727
657.0,630.41876
487.0,525.8383
673.0,652.6652
592.0,584.953
694.0,725.50543
647.23,658.49115
693.0,680.4619
496.3,496.77527
783.1,749.6844
664.1,690.62885
471.17,458.77634
611.7,627.7451
617.1,596.40344
706.0,683.5318
584.1,601.0644
521.0,536.627
467.8,418.94247
423.27,436.47046
473.0,467.50723
812.0,826.15186
479.1,476.03583
543.0,551.5358
708.2,774.97833
598.0,591.22534
574.4,579.68787
502.2,521.8327
679.0,713.42566
679.0,688.9531
482.02,545.1899
356.9,368.8503
511.749,436.91635
651.0,626.1171
718.0,731.11554
790.0,806.2105
586.78,602.2056
623.8,653.2553
770.0,831.1866
317.45,337.83176
840.0,802.99567
685.7,661.39575
732.0,715.0912
628.0,609.62836
730.0,764.3974
678.5,713.42566
384.97,398.72742
651.0,634.7561
624.0,574.50543
562.032,471.283
789.9,805.46466
707.0,730.5595
618.0,626.53973
454.9,474.50177
665.0,671.5317
850.0,842.29987
418.6,430.27805
530.0,506.44067
304.1467,357.3821
620.2,635.56195
448.9,469.9787
836.0,800.42065
714.0,747.91986
400.31,432.10257
451.65,429.78503
500.0,482.24765
594.0,573.92584
456.6,367.6552
406.814,414.98352
575.3,605.6481
711.1,739.94763
573.5,553.83844
702.0,726.5761
302.98,339.29233
687.64,636.05646
397.0,326.05698
510.2,505.1077
549.0,582.3226
134.35,137.91467
784.0,793.5455
373.05,372.93033
607.0,584.65125
671.8,693.56
682.0,711.82117
803.1,759.5362
386.449,413.53604
561.5,488.74033
518.0,492.7376
453.0,428.08734
428.0,413.6364
772.0,754.45355
547.76,596.3709
685.0,709.6649
641.39,676.2885
792.0,841.5457
544.1,568.9023
510.0,469.46536
549.9,568.7701
403.41,406.18533
560.3,544.60126
44.4,52.16965
812.0,888.2609
667.95,636.0847
544.2,525.9391
703.04,712.8931
684.0,634.80084
849.0,872.52057
709.0,727.42773
625.0,649.1617
401.5,392.49167
558.9,574.6442
377.1,349.6877
437.7,449.68106
632.0,547.74915
632.0,613.17
448.61,481.83453
576.7,592.4555
401.9,384.61984
673.0,696.6121
532.5,491.47778
374.126,381.25858
376.65,355.73422
608.0,601.3431
755.8,766.8733
778.0,818.3062
858.0,960.4991
524.0,537.3421
626.0,635.4604
699.0,683.7321
652.13,673.2207
535.62,560.19403
604.0,604.31055
449.2,457.8679
345.868,374.21976
678.5,708.04205
726.0,749.9178
530.9,524.5789
718.0,698.2168
775.0,785.43536
748.0,772.3926
683.75,624.92786
369.262,379.05862
777.8,787.72064
559.6,586.00793
670.0,679.2064
683.0,699.2862
490.7,513.21674
538.2,563.8101
679.0,658.49725
820.0,866.9816
653.0,636.503
720.0,783.00385
653.0,657.283
616.94,622.6916
497.88,516.3597
480.91,543.08527
591.8,590.13275
460.9,432.96918
463.89,445.73914
571.1,583.543
561.2,557.4265
893.0,965.02466
594.557,596.96985
435.7,456.2369
462.99,468.75366
528.0,558.45233
498.22,518.3671
775.0,767.9677
621.6,634.1019
144.0,214.17558
698.0,739.98694
593.7,561.016
433.3,442.28766
808.0,829.46136
623.0,681.26276
675.0,645.22565
359.4,364.58688
520.4,537.4908
411.98,380.32797
647.0,675.4378
578.1,591.8167
553.08,575.1997
698.77,699.811
535.2,535.38245
368.9,378.42175
653.4,680.67957
612.0,657.0308
647.05,654.1435
500.21,510.352
716.0,712.27527
504.58,526.01715
560.4,559.5012
768.0,790.13666
504.0,490.6453
561.44,563.81995
897.0,1022.4841
855.0,871.9505
719.5,725.628
532.7,538.7772
431.23,473.84506
770.0,783.9235
840.0,852.1836
646.0,679.1425
763.0,770.8814
864.0,914.29
478.1,483.86517
379.5,368.9402
680.9,713.9179
523.1,524.23535
581.5,620.76373
698.8,643.11127
584.4,646.55084
563.6,568.69025
668.0,695.83124
540.6,554.1424
491.3,479.99133
490.2,493.5759
629.0,648.6795
592.1,595.1799
640.2,646.9572
459.59,459.3661
614.0,595.63873
517.75,530.066
647.0,632.8014
553.4,554.037
632.0,627.33
742.0,797.113
567.5,557.73083
602.0,630.10724
634.7,602.3046
692.0,673.2967
574.88,566.4398
646.0,661.447
398.07,368.3676
708.0,744.18207
415.76,384.49973
543.82,550.3636
641.0,625.7767
787.0,823.63544
487.6,457.3798
546.1,563.9804
623.8,645.1731
708.0,700.6794
830.0,848.7855
571.2,548.26996
836.0,885.1768
485.1,473.43604
716.4,678.3902
749.0,756.67206
542.0,580.8963
618.3,612.0964
686.0,717.84735
539.67,546.25385
668.0,652.9047
899.0,944.42975
736.0,767.28766
312.09,321.69296
540.75,557.2248
649.0,670.0161
640.4,647.9793
668.59,678.29474
559.5,563.0663
421.75,462.39194
518.6,525.38666
695.0,726.06055
536.9,509.4343
811.0,814.57367
215.2,294.9914
150.71,143.25082
305.352,372.2331
475.0,480.1896
562.98,557.1065
534.65,539.6516
532.757,530.5304
708.0,738.96405
693.7,726.4406
701.0,717.60986
767.0,799.3791
590.5,578.88696
627.8,659.94525
680.0,670.29425
428.61,452.69376
579.41,636.9931
808.0,824.3427
509.0,494.01657
575.0,615.64923
339.173,349.0756
740.0,754.86285
569.4,594.28827
836.0,840.44836
444.88,439.2435
578.0,608.42584
539.2,524.65924
763.0,810.6684
635.0,644.2707
454.57,457.8679
597.38,598.8297
551.0,549.4057
540.14,504.82474
836.0,902.34015
593.5,562.3744
564.32,569.9519
656.0,670.5993
464.1,468.71704
839.0,904.8337
844.0,864.72186
598.5,598.937
549.73,567.6961
362.32,378.86395
697.0,729.6325
325.4,337.89114
428.95,402.0447
