true_temp,pred_temp
537.471,523.96216
640.0,656.1577
365.0,372.1695
919.0,928.5635
598.0,612.6607
568.9,570.4139
728.0,744.90326
723.2,705.5795
904.0,906.5088
536.4,570.9828
505.35,537.264
660.0,664.37085
328.04,350.39014
438.848,437.1536
549.95,565.7206
637.3,612.5581
664.1,659.2429
779.0,806.51074
126.1931,165.06659
623.0,638.4108
707.0,713.0936
594.0,600.7876
528.7,517.8662
798.0,749.93274
702.0,671.0809
437.84,502.95743
778.0,791.8701
594.37,550.35815
657.0,609.302
487.0,519.88696
673.0,642.60913
592.0,588.3727
694.0,721.9791
647.23,700.0764
693.0,662.11676
496.3,477.84802
783.1,797.6302
664.1,685.1
471.17,474.03033
611.7,596.1735
617.1,617.4404
706.0,704.6787
584.1,597.1026
521.0,530.31604
467.8,418.006
423.27,405.86206
473.0,450.3118
812.0,811.84827
479.1,490.89264
543.0,554.9256
708.2,757.17017
598.0,598.0148
574.4,586.94714
502.2,541.87506
679.0,701.4997
679.0,674.9573
482.02,520.91565
356.9,360.47015
511.749,483.08948
651.0,649.62396
718.0,718.4636
790.0,808.7495
586.78,604.3158
623.8,643.13794
770.0,829.5351
317.45,364.01514
840.0,695.66455
685.7,661.5202
732.0,719.176
628.0,637.5388
730.0,756.3884
678.5,701.4997
384.97,412.86832
651.0,649.5441
624.0,589.0174
562.032,481.3742
789.9,795.3169
707.0,720.75323
618.0,625.8706
454.9,441.68896
665.0,655.4922
850.0,857.8369
418.6,446.1908
530.0,543.6673
304.1467,326.1897
620.2,623.1303
448.9,491.4464
836.0,789.4102
714.0,728.0427
400.31,454.15134
451.65,435.60132
500.0,528.5383
594.0,586.4753
456.6,405.61514
406.814,417.95755
575.3,588.81464
711.1,733.73016
573.5,586.5819
702.0,717.79865
302.98,327.73883
687.64,623.49097
397.0,383.23468
510.2,499.42096
549.0,520.91895
134.35,159.80527
784.0,820.18787
373.05,376.25363
607.0,588.89386
671.8,682.03
682.0,691.9198
803.1,806.4973
386.449,423.79678
561.5,530.6167
518.0,504.34457
453.0,469.32495
428.0,429.0709
772.0,738.63904
547.76,593.59644
685.0,710.3561
641.39,662.2648
792.0,826.4776
544.1,572.0613
510.0,492.09692
