true_temp,pred_temp
537.471,548.01306
640.0,628.0847
365.0,341.65182
919.0,938.0095
598.0,543.9316
568.9,554.4868
728.0,720.92883
723.2,717.2383
904.0,912.1
536.4,544.73816
505.35,508.70404
660.0,647.39056
328.04,334.61737
438.848,420.73157
549.95,580.87933
637.3,660.9153
664.1,647.7025
779.0,762.2533
126.1931,127.30994
623.0,593.6688
707.0,691.46906
594.0,623.21
528.7,547.4588
798.0,820.03625
702.0,674.2876
437.84,462.47195
778.0,793.93304
594.37,558.3031
657.0,633.2825
487.0,481.63242
673.0,674.28455
592.0,589.6616
694.0,698.725
647.23,636.8678
693.0,688.4072
496.3,489.13815
783.1,812.9376
664.1,670.78503
471.17,370.69257
611.7,598.4728
617.1,596.60394
706.0,693.28186
584.1,619.5075
521.0,496.94235
467.8,425.1186
423.27,409.72794
473.0,446.35794
812.0,817.0753
479.1,486.15118
543.0,547.19836
708.2,627.67346
598.0,588.6045
574.4,552.7709
502.2,489.43762
679.0,678.47266
679.0,640.96875
482.02,485.95212
356.9,369.415
511.749,445.68326
651.0,639.78284
718.0,694.51215
790.0,762.9523
586.78,576.3451
623.8,607.28625
770.0,741.13354
317.45,359.7705
840.0,816.3328
685.7,668.7026
732.0,729.354
628.0,615.282
730.0,736.9523
678.5,678.42114
384.97,365.9079
651.0,648.4112
624.0,577.99133
562.032,599.28235
789.9,797.2839
707.0,694.53156
618.0,621.90955
454.9,481.61923
665.0,624.98315
850.0,742.56476
418.6,416.45993
530.0,502.3488
304.1467,328.58063
620.2,593.3949
448.9,459.84207
836.0,832.69385
714.0,706.59784
400.31,410.30173
451.65,389.23007
500.0,473.46793
594.0,583.2135
456.6,378.57217
406.814,428.64786
575.3,571.01526
711.1,711.68774
573.5,568.0395
702.0,694.24005
302.98,362.50217
687.64,664.5054
397.0,383.57578
510.2,495.94168
549.0,541.2312
134.35,117.91915
784.0,764.59
373.05,370.22025
607.0,602.1709
671.8,674.79175
682.0,666.92584
803.1,824.026
386.449,439.3381
561.5,512.18646
518.0,497.79657
453.0,423.67496
428.0,366.61142
772.0,732.95905
547.76,561.6859
685.0,671.90094
641.39,638.908
792.0,789.4828
544.1,519.468
510.0,458.3915
549.9,580.5647
403.41,393.0352
560.3,555.3194
44.4,186.37221
812.0,778.6695
667.95,651.74506
544.2,532.59595
703.04,676.9689
684.0,641.47125
849.0,858.2947
709.0,691.7615
625.0,622.06226
401.5,389.5875
558.9,552.452
377.1,328.60565
437.7,446.27524
632.0,560.23376
632.0,633.3057
448.61,478.30142
576.7,604.0573
401.9,410.27225
673.0,627.54407
532.5,413.59085
374.126,383.1437
376.65,408.68582
608.0,593.32007
755.8,762.55286
778.0,779.95337
858.0,894.85266
524.0,525.1672
626.0,591.24567
699.0,684.9429
652.13,654.9226
535.62,537.01587
604.0,480.59665
449.2,435.6978
345.868,447.1672
678.5,654.7242
726.0,731.2579
530.9,547.67084
718.0,713.1716
775.0,771.0971
748.0,747.15234
683.75,666.77454
369.262,373.03238
777.8,780.53815
559.6,550.3314
670.0,630.7155
683.0,669.3135
490.7,517.7786
538.2,531.9141
679.0,574.1012
820.0,816.60095
653.0,657.09204
720.0,721.4039
653.0,617.2498
616.94,639.2034
497.88,527.36255
480.91,501.5223
591.8,631.9236
460.9,445.98343
463.89,436.58676
571.1,565.7904
561.2,560.0861
893.0,881.00836
594.557,619.1422
435.7,440.63718
462.99,370.8752
528.0,552.0674
498.22,482.56686
775.0,765.8779
621.6,606.3699
144.0,211.64592
698.0,707.5781
593.7,601.39014
433.3,442.65393
808.0,807.93494
623.0,650.8347
675.0,667.4263
359.4,350.33694
520.4,544.29504
411.98,375.48337
647.0,654.0342
578.1,571.0207
553.08,570.39526
698.77,726.4822
535.2,553.73584
368.9,342.4639
653.4,635.6892
612.0,648.047
647.05,653.4292
500.21,512.72766
716.0,720.9186
504.58,548.1184
560.4,528.43475
768.0,785.79987
504.0,504.24216
561.44,543.1282
897.0,939.1956
855.0,848.6877
719.5,698.53455
532.7,533.7295
431.23,482.53668
770.0,742.4936
840.0,846.1777
646.0,658.7405
763.0,783.7544
864.0,885.656
478.1,474.16504
379.5,348.33435
680.9,674.2934
523.1,533.18494
581.5,585.24817
698.8,696.34485
584.4,652.36865
563.6,590.32996
668.0,666.44415
540.6,583.1366
491.3,498.00793
490.2,548.6964
629.0,646.4776
592.1,627.4912
640.2,650.1449
459.59,471.51385
614.0,591.0258
517.75,478.1655
647.0,640.41907
553.4,572.99426
632.0,582.7583
742.0,741.9083
567.5,573.281
602.0,607.66455
634.7,608.4486
692.0,725.094
574.88,592.5033
646.0,662.6444
398.07,379.55496
708.0,710.2005
415.76,427.89383
543.82,520.6389
641.0,619.53125
787.0,748.103
487.6,420.73495
546.1,512.6244
623.8,654.1081
708.0,709.7793
830.0,835.74585
571.2,531.1531
836.0,838.0039
485.1,493.15637
716.4,710.1509
749.0,766.58954
542.0,581.28625
618.3,608.98193
686.0,705.9258
539.67,539.73486
668.0,623.99536
899.0,929.77814
736.0,742.4458
312.09,327.50906
540.75,554.6803
649.0,652.0907
640.4,656.3615
668.59,661.9222
559.5,544.6805
421.75,386.58453
518.6,510.8069
695.0,693.86365
536.9,482.99374
811.0,806.9935
215.2,273.63876
150.71,230.14513
305.352,395.5805
475.0,477.77725
562.98,510.6594
534.65,549.2121
532.757,522.356
708.0,708.87616
693.7,679.9862
701.0,724.3329
767.0,767.50476
590.5,590.5032
627.8,632.12067
680.0,552.47095
428.61,436.20203
579.41,658.1736
808.0,780.9472
509.0,509.0365
575.0,592.328
339.173,372.0369
740.0,725.5107
569.4,599.8364
836.0,833.00446
444.88,449.33273
578.0,597.23206
539.2,510.04468
763.0,756.1316
635.0,672.9885
454.57,433.27167
597.38,601.7017
551.0,424.91574
540.14,484.10904
836.0,871.19653
593.5,569.9927
564.32,561.02545
656.0,670.5889
464.1,469.01746
839.0,810.21295
844.0,839.4951
598.5,643.6643
549.73,554.0551
362.32,350.0993
697.0,686.41724
325.4,346.27615
428.95,423.24948
601.1,586.11597
432.79,436.03195
